goodsID,name,type,author,page_size,origin_price,preferential_price,publisher,comments_count,favorable_rate,publish_time
10022397127874,宇宙中的生命【套装6册】穿越平行宇宙+暗物质与恐龙+弯曲的旅行+叩响天堂之门+穿越平行宇宙,天文学,,unknown,566.60,555.00,浙江人民出版社,0,1.0,unknown
12194243,宇宙：从起源到未来（对话最伟大的头脑·大思考系列）,天文学,[美] 约翰·布罗克曼（John Brockman） 著,unknown,79.90,79.90,浙江人民出版社,2000+,0.99,2017-09-01
12664744,认识飞行（第二版）:揭密行空飞行原理 修正常见认知错误,天文学,[美] D.F.安德森（David F.Anderson） 著 周尧明 译,336,68.00,68.00,北京联合出版公司,5000+,0.99,2019-07-01
12877416,伴月共生,天文学,[日] 藤井旭 著 韩天洋 译,unknown,49.80,49.80,中信出版集团,10万+,0.99,2020-05-01
10029339995692,世界之大百科书大全集6册彩图珍藏版6-11-14岁小学生课外阅读科技军事天文地理少儿科普百科大全书籍,天文学,,unknown,90.00,29.80,吉林文史,8,1.0,unknown
38528701995,时间简史+空间简史(插图本),天文学,[英] 史蒂芬·霍金（StephenHawking） 著,unknown,84.80,50.50,湖南科学技术出版社等,65,1.0,2003-03-01
10029455351807,极简天文课/张双南,天文学,张双南 著,157,58.00,43.50,科学出版社,1,1.0,2021-04-01
10028831329040,裸眼观星(零障碍天文观测指南),天文学,[美] 鲍勃·金|译者：秦麦... 编,245,88.00,40.61,北京联合,6,1.0,2018-11-01
12082992,趣味天文学,天文学,[俄] 别莱利曼 著 刘玉中 译,183,22.00,22.00,中国青年出版社,1000+,0.99,2017-01-01
13081522,星空5500年：TheSkyAtlas中文简体版,天文学,[英] 爱德华·布鲁克-海钦 著,264,199.00,187.30,北京联合出版有限公司,200+,1.0,2021-01-01
10031167042533,好奇宝宝和博学爸爸（全7册）父子科学科普百科全书天文地理物理化学地球人体宇宙太空课外读物书籍,天文学,,unknown,208.60,69.00,长江少年儿童出版社,2,1.0,unknown
1499985734,通俗天文学,天文学,西蒙·纽康 著,unknown,32.00,15.50,新世界出版社,12,1.0,2014-11-01
12918412,神秘的宇宙：詹姆斯·金斯著青少年物理世界科普经典名著物理学观念上的重大革命中小学生课外阅读,天文学,詹姆斯·金斯 著 周煦良 译,unknown,59.80,52.30,团结出版社,1万+,0.98,2020-06-01
12175375,通俗天文学/世界经典科普读本[AstronomyforEverybody],天文学,[美] 西蒙·纽康 著 汪亦男 译,245,30.00,20.30,北京理工大学出版社,1万+,0.99,2017-08-01
12298833,第一推动丛书宇宙系列：物理天文学前沿[ThePhysics-AstronomyFrontier],天文学,[英] F·霍伊尔 [印] J·纳里卡 著 何香涛 赵君亮 译,600,78.00,61.60,湖南科学技术出版社,2万+,0.99,2018-02-01
12329065,第一推动宇宙四部曲：时间简史+黑洞与时间弯曲+宇宙的琴弦+宇宙的结构（套装共4册）,天文学,史蒂芬·霍金 基普·S.索恩 等 著,unknown,286.00,205.60,湖南科学技术出版社,2万+,0.99,2018-04-01
57618030886,宇宙大百科儿童书籍dk天文少儿幼儿小学生版少儿百科全书6-12周岁关于宇宙太空的书星球探索星空遨,天文学,,unknown,118.00,48.00,民主与建设出版社,63,1.0,2018-12-01
12343538,第一推动丛书：宇宙系列（16本合集）,天文学,[英] 霍金 [美] 丘成桐 等 著,unknown,852.00,673.10,湖南科学技术出版社,2万+,0.99,2018-04-01
12659618,德国儿童百科全书：天文地理[6-12岁],天文学,德 伊利斯奥丁格 著,unknown,59.80,55.30,中国铁道出版社,2万+,0.99,2019-06-01
12664626,爱因斯坦讲堂系列丛书：飞向宇宙深处,天文学,[英] 阿普丽尔-马登 著,228,68.00,51.00,中国画报出版社,2000+,0.99,2019-07-01
12888710,宇宙秘密——阿西莫夫谈科学,天文学,艾萨克·阿西莫夫 著 吴虹桥 译,452,75.00,75.00,上海科技教育出版社,2万+,0.99,2020-06-01
11819705,通俗天文学（权威增补本）,天文学,[美] 西蒙·纽康 著,unknown,26.00,19.50,江苏凤凰科学技术出版社,5000+,0.98,2015-12-01
69207434993,遨游太空探索宇宙绘本儿童3d立体书天文书籍少儿百科全书科普图书册6-12岁十万个为什么幼儿小学版,天文学,,unknown,128.00,49.80,江西高校出版社,13,1.0,unknown
12631708,给孩子的极简宇宙史（精装图文版）,天文学,[法] 米里埃尔·加尔戈 等 著,222,168.00,104.70,江西教育出版社,200+,1.0,2019-05-01
12879956,在别的星球上,天文学,吕西安·吕都 著 唐淑文 王秀慧 译,unknown,198.00,186.10,北京联合出版公司,2000+,1.0,2020-03-01
59732275581,宇宙奥德赛：穿越银河系+黑洞和幸运星天文科普系列探索宇宙太空百科全书,天文学,王爽 等 著,unknown,88.00,67.70,清华大学出版社,45,1.0,unknown
69531154961,名师讲科技前沿系列--图解航空技术,天文学,,unknown,49.00,24.50,化学工业出版社有限公司,19,1.0,2019-05-01
26998222287,全2册时间简史物种起源霍金全彩图说解读版原版普及版插图版中文版达尔文精装书籍,天文学,,322页,118.00,22.34,中国华侨出版社,200+,0.99,unknown
10026830033893,现象学导论IntroductiontoPhenomenology哲学书籍后浪正版,哲学,罗伯特·索科拉夫斯基 著,312,49.80,24.90,上海文化出版社,200+,0.97,2021-01-01
10113071,新世界：灵性的觉醒[A New Earth],哲学,[德] 艾克哈特.托尔 著 张德芬 译,271,28.00,17.50,南方出版社,1万+,0.98,2012-02-01
12384321,人生的智慧,哲学,[德] 叔本华 著 韦启昌 译,140,58.00,57.40,上海人民出版社,2万+,0.99,2016-07-01
12522277,《实践论》《矛盾论》解说,哲学,李达 著,270,49.80,42.30,人民出版社,2000+,0.99,2019-04-01
10029210711858,中国哲学史(全2册)典藏版冯友兰书籍,哲学,冯友兰 著,unknown,138.00,57.80,古吴轩出版社,100+,1.0,2021-01-01
10181276848,科学革命的结构北京大学科技史与科技哲学丛书,哲学,[美] 托马斯·库恩（ThomasS.Kuhn）著金 著,unknown,45.00,31.50,北京大学出版社,2000+,0.99,2012-11-01
31630483700,孝经诠解全套6册精装原文白话译文注释图文版孔子等著儒家伦理著作中国哲学国学经典书籍二十四孝,哲学,,unknown,1580.00,156.00,线装书局,25,0.87,unknown
12842280,哥德尔艾舍尔巴赫：集异璧之大成（中华人民共和国成立70周年珍藏本）,哲学,[美] 侯世达 著 本书翻译组 译,1284,268.00,211.70,商务印书馆,1万+,0.99,2019-09-01
1027080367,理想国读懂柏拉图的第一本书,哲学,柏拉图 著,unknown,35.00,16.35,中国华侨出版社,2000+,0.97,2012-05-01
30149488807,做哲学哲学导论书籍后浪,哲学,[美] 小西奥多·希克 著 柴伟佳 龚皓 译,643,118.00,59.00,北京联合出版公司,200+,1.0,2018-09-01
